cod_cnae_classe;CNAE Classe;cod_cnae_divisao;CNAE Divisão
27210;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27228;Fabricação de baterias e acumuladores para veículos automotores;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27317;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27325;Fabricação de material elétrico para instalações em circuito de consumo;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27333;Fabricação de fios, cabos e condutores elétricos isolados;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27406;Fabricação de lâmpadas e outros equipamentos de iluminação;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27511;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27597;Fabricação de aparelhos eletrodomésticos não especificados anteriormente;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
27902;Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente;27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS
28119;Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28127;Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28135;Fabricação de válvulas, registros e dispositivos semelhantes;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28143;Fabricação de compressores;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28151;Fabricação de equipamentos de transmissão para fins industriais;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28216;Fabricação de aparelhos e equipamentos para instalações térmicas;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28224;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28232;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28241;Fabricação de aparelhos e equipamentos de ar condicionado;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28259;Fabricação de máquinas e equipamentos para saneamento básico e ambiental;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28291;Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28313;Fabricação de tratores agrícolas;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28321;Fabricação de equipamentos para irrigação agrícola;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28330;Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28402;Fabricação de máquinas-ferramenta;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28518;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28526;Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28534;Fabricação de tratores, exceto agrícolas;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28542;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28615;Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28623;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28631;Fabricação de máquinas e equipamentos para a indústria têxtil;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28640;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28658;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28666;Fabricação de máquinas e equipamentos para a indústria do plástico;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
28691;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
29107;Fabricação de automóveis, camionetas e utilitários;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29204;Fabricação de caminhões e ônibus;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29301;Fabricação de cabines, carrocerias e reboques para veículos automotores;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29417;Fabricação de peças e acessórios para o sistema motor de veículos automotores;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29425;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29433;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29441;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29450;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29492;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
29506;Recondicionamento e recuperação de motores para veículos automotores;29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS
30113;Construção de embarcações e estruturas flutuantes;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30121;Construção de embarcações para esporte e lazer;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30318;Fabricação de locomotivas, vagões e outros materiais rodantes;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30326;Fabricação de peças e acessórios para veículos ferroviários;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30415;Fabricação de aeronaves;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30423;Fabricação de turbinas, motores e outros componentes e peças para aeronaves;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30504;Fabricação de veículos militares de combate;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30911;Fabricação de motocicletas;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30920;Fabricação de bicicletas e triciclos não motorizados;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
30997;Fabricação de equipamentos de transporte não especificados anteriormente;30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES
31012;Fabricação de móveis com predominância de madeira;31;FABRICAÇÃO DE MÓVEIS
31021;Fabricação de móveis com predominância de metal;31;FABRICAÇÃO DE MÓVEIS
31039;Fabricação de móveis de outros materiais, exceto madeira e metal;31;FABRICAÇÃO DE MÓVEIS
31047;Fabricação de colchões;31;FABRICAÇÃO DE MÓVEIS
32116;Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32124;Fabricação de bijuterias e artefatos semelhantes;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32205;Fabricação de instrumentos musicais;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32302;Fabricação de artefatos para pesca e esporte;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32400;Fabricação de brinquedos e jogos recreativos;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32507;Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32914;Fabricação de escovas, pincéis e vassouras;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32922;Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
32990;Fabricação de produtos diversos não especificados anteriormente;32;FABRICAÇÃO DE PRODUTOS DIVERSOS
33112;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33121;Manutenção e reparação de equipamentos eletrônicos e ópticos;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33139;Manutenção e reparação de máquinas e equipamentos elétricos;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33147;Manutenção e reparação de máquinas e equipamentos da indústria mecânica;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33155;Manutenção e reparação de veículos ferroviários;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33163;Manutenção e reparação de aeronaves;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33171;Manutenção e reparação de embarcações;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33198;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33210;Instalação de máquinas e equipamentos industriais;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
33295;Instalação de equipamentos não especificados anteriormente;33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS
35115;Geração de energia elétrica;35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
35123;Transmissão de energia elétrica;35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
35131;Comércio atacadista de energia elétrica;35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
35140;Distribuição de energia elétrica;35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
35204;"Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas";35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
35301;"Produção e distribuição de vapor, água quente e ar
condicionado";35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES
36006;Captação, tratamento e distribuição de água;36;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA
37011;Gestão de redes de esgoto;37;ESGOTO E ATIVIDADES RELACIONADAS
37029;Atividades relacionadas a esgoto, exceto a gestão de redes;37;ESGOTO E ATIVIDADES RELACIONADAS
38114;Coleta de resíduos não perigosos;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38122;Coleta de resíduos perigosos;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38211;Tratamento e disposição de resíduos não perigosos;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38220;Tratamento e disposição de resíduos perigosos;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38319;Recuperação de materiais metálicos;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38327;Recuperação de materiais plásticos;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
38394;Recuperação de materiais não especificados anteriormente;38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS"
39005;Descontaminação e outros serviços de gestão de resíduos;39;DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS
41107;Incorporação de empreendimentos imobiliários;41;CONSTRUÇÃO DE EDIFÍCIOS
41204;Construção de edifícios;41;CONSTRUÇÃO DE EDIFÍCIOS
42111;Construção de rodovias e ferrovias;42;OBRAS DE INFRAESTRUTURA
42120;Construção de obras de arte especiais;42;OBRAS DE INFRAESTRUTURA
42138;Obras de urbanização - ruas, praças e calçadas;42;OBRAS DE INFRAESTRUTURA
42219;Obras para geração e distribuição de energia elétrica e para telecomunicações;42;OBRAS DE INFRAESTRUTURA
42227;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas;42;OBRAS DE INFRAESTRUTURA
42235;Construção de redes de transportes por dutos, exceto para água e esgoto;42;OBRAS DE INFRAESTRUTURA
42910;Obras portuárias, marítimas e fluviais;42;OBRAS DE INFRAESTRUTURA
42928;Montagem de instalações industriais e de estruturas metálicas;42;OBRAS DE INFRAESTRUTURA
42995;Obras de engenharia civil não especificadas anteriormente;42;OBRAS DE INFRAESTRUTURA
43118;Demolição e preparação de canteiros de obras;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43126;Perfurações e sondagens;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43134;Obras de terraplenagem;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43193;Serviços de preparação do terreno não especificados anteriormente;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43215;Instalações elétricas;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43223;"Instalações hidráulicas, de sistemas de ventilação e
refrigeração";43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43291;Obras de instalações em construções não especificadas anteriormente;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43304;Obras de acabamento;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43916;Obras de fundações;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
43991;Serviços especializados para construção não especificados anteriormente;43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO
45111;Comércio a varejo e por atacado de veículos automotores;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45129;Representantes comerciais e agentes do comércio de veículos automotores;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45200;Manutenção e reparação de veículos automotores;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45307;Comércio de peças e acessórios para veículos automotores;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45412;Comércio por atacado e a varejo de motocicletas, peças e acessórios;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45421;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
45439;Manutenção e reparação de motocicletas;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46117;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46125;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46133;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46141;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46150;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46168;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46176;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46184;Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46192;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46214;Comércio atacadista de café em grão;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46222;Comércio atacadista de soja;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46231;Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46311;Comércio atacadista de leite e laticínios;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46320;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46338;Comércio atacadista de hortifrutigranjeiros;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46346;Comércio atacadista de carnes, produtos da carne e pescado;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46354;Comércio atacadista de bebidas;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46362;Comércio atacadista de produtos do fumo;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46371;Comércio atacadista especializado em produtos alimentícios não especificados anteriormente;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46397;Comércio atacadista de produtos alimentícios em geral;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46419;Comércio atacadista de tecidos, artefatos de tecidos e de armarinho;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46427;Comércio atacadista de artigos do vestuário e acessórios;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46435;Comércio atacadista de calçados e artigos de viagem;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46443;Comércio atacadista de produtos farmacêuticos para uso humano e veterinário;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46451;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46460;Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46478;"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46494;Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46516;Comércio atacadista de computadores, periféricos e suprimentos de informática;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46524;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46613;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46621;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46630;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46648;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46656;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46699;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46711;Comércio atacadista de madeira e produtos derivados;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46729;Comércio atacadista de ferragens e ferramentas;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46737;Comércio atacadista de material elétrico;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46745;Comércio atacadista de cimento;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46796;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46818;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46826;Comércio atacadista de gás liquefeito de petróleo (GLP);46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46834;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46842;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46851;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46869;Comércio atacadista de papel e papelão em bruto e de embalagens;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46877;Comércio atacadista de resíduos e sucatas;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46893;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46915;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46923;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
46931;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS
47113;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;47;COMÉRCIO VAREJISTA
47121;"Comércio varejista de mercadorias em geral, com
predominância de produtos alimentícios - minimercados,
mercearias e armazéns";47;COMÉRCIO VAREJISTA
47130;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;47;COMÉRCIO VAREJISTA
47211;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;47;COMÉRCIO VAREJISTA
47229;Comércio varejista de carnes e pescados - açougues e peixarias;47;COMÉRCIO VAREJISTA
47237;Comércio varejista de bebidas;47;COMÉRCIO VAREJISTA
47245;Comércio varejista de hortifrutigranjeiros;47;COMÉRCIO VAREJISTA
47296;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";47;COMÉRCIO VAREJISTA
47318;Comércio varejista de combustíveis para veículos automotores;47;COMÉRCIO VAREJISTA
47326;Comércio varejista de lubrificantes;47;COMÉRCIO VAREJISTA
47415;Comércio varejista de tintas e materiais para pintura;47;COMÉRCIO VAREJISTA
47423;Comércio varejista de material elétrico;47;COMÉRCIO VAREJISTA
47431;Comércio varejista de vidros;47;COMÉRCIO VAREJISTA
47440;Comércio varejista de ferragens, madeira e materiais de construção;47;COMÉRCIO VAREJISTA
47512;Comércio varejista especializado de equipamentos e suprimentos de informática;47;COMÉRCIO VAREJISTA
47521;Comércio varejista especializado de equipamentos de telefonia e comunicação;47;COMÉRCIO VAREJISTA
47539;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;47;COMÉRCIO VAREJISTA
47547;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação;47;COMÉRCIO VAREJISTA
47555;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho;47;COMÉRCIO VAREJISTA
47563;Comércio varejista especializado de instrumentos musicais e acessórios;47;COMÉRCIO VAREJISTA
47571;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;47;COMÉRCIO VAREJISTA
47598;Comércio varejista de artigos de uso doméstico não especificados anteriormente;47;COMÉRCIO VAREJISTA
47610;Comércio varejista de livros, jornais, revistas e papelaria;47;COMÉRCIO VAREJISTA
47628;Comércio varejista de discos, CDs, DVDs e fitas;47;COMÉRCIO VAREJISTA
